name,dir,builds,build_err,vet,vet_err,ntestfiles,test_result,test_err
"agentic","submodules/agentic","Y"," ","Y"," ","6","PASS"," "
"auth","submodules/auth","Y"," ","Y"," ","16","PASS"," "
"auto_temp","submodules/auto_temp","Y"," ","Y"," ","5","PASS"," "
"background_tasks","submodules/background_tasks","Y"," ","Y"," ","8","PASS"," "
"benchmark","submodules/benchmark","Y"," ","Y"," ","8","PASS"," "
"cache","submodules/cache","Y"," ","Y"," ","16","PASS"," "
"challenges","submodules/challenges","Y"," ","Y"," ","134","PASS"," "
"claritas","submodules/claritas","Y"," ","Y"," ","4","PASS"," "
"concurrency","submodules/concurrency","Y"," ","Y"," ","23","PASS"," "
"config","submodules/config","Y"," ","Y"," ","5","PASS"," "
"containers","submodules/containers","Y"," ","Y"," ","188","PASS"," "
"conversation","submodules/conversation","Y"," ","Y"," ","5","PASS"," "
"dag_orchestrator","submodules/dag_orchestrator","Y"," ","Y"," ","2","PASS"," "
"database","submodules/database","Y"," ","Y"," ","25","PASS"," "
"debate_orchestrator","submodules/debate_orchestrator","Y"," ","Y"," ","21","PASS"," "
"doc_processor","submodules/doc_processor","Y"," ","Y"," ","21","PASS"," "
"docs_chain","submodules/docs_chain","Y"," ","Y"," ","18","PASS"," "
"document","submodules/document","Y"," ","Y"," ","1","PASS"," "
"embeddings","submodules/embeddings","Y"," ","Y"," ","12","PASS"," "
"event_bus","submodules/event_bus","Y"," ","Y"," ","14","PASS"," "
"filesystem","submodules/filesystem","Y"," ","Y"," ","11","PASS"," "
"formatters","submodules/formatters","Y"," ","Y"," ","13","PASS"," "
"gandalf_solutions","submodules/gandalf_solutions","Y"," ","Y"," ","5","PASS"," "
"helix_agent","submodules/helix_agent","N","cli_agents/continue/core/autocomplete/context/root-path-context/test/files/file1.go:4:2: package core/autocomplete/context/root-path-context/test/files/models is not in std (/usr/lib/golang/src/core/a","N","cli_agents/continue/core/autocomplete/context/root-path-context/test/files/file1.go:4:2: package core/autocomplete/context/root-path-context/test/files/models is not in std (/usr/lib/golang/src/core/a","1727","TIMEOUT","x.agent/internal/optimization/outlines	0.007s ok  	dev.helix.agent/internal/optimization/sglang	0.209s ok  	dev.helix.agent/internal/optimization/streaming	1.383s ok  	dev.helix.agent/internal/output	"
"helix_llm","submodules/helix_llm","Y"," ","Y"," ","200","PASS"," "
"helix_memory","submodules/helix_memory","Y"," ","Y"," ","36","PASS"," "
"helix_qa","submodules/helix_qa","Y"," ","N","pkg/challengegen/generator.go:136:9: classify passes lock by value: digital.vasic.helixqa/pkg/challengegen.aggregate contains digital.vasic.challenges/pkg/challenge.Result contains sync.Mutex pkg/chal","709","FAIL","--- FAIL: TestLoadDir_W6A_RealBanksDirLoadsCleanly (0.07s) FAIL FAIL	digital.vasic.helixqa/pkg/testbank	0.107s FAIL  "
"helix_specifier","submodules/helix_specifier","Y"," ","Y"," ","38","PASS"," "
"hyper_tune","submodules/hyper_tune","Y"," ","Y"," ","4","PASS"," "
"i18n","submodules/i18n","Y"," ","Y"," ","3","PASS"," "
"i_llm","submodules/i_llm","Y"," ","Y"," ","6","PASS"," "
"lazy","submodules/lazy","Y"," ","Y"," ","6","PASS"," "
"leak_hub","submodules/leak_hub","Y"," ","Y"," ","4","PASS"," "
"llm_ops","submodules/llm_ops","Y"," ","Y"," ","14","PASS"," "
"llm_orchestrator","submodules/llm_orchestrator","Y"," ","Y"," ","31","PASS"," "
"llm_provider","submodules/llm_provider","Y"," ","Y"," ","79","PASS"," "
"llms_verifier","submodules/llms_verifier","Y"," ","Y"," ","316","PASS"," "
"mcp_module","submodules/mcp_module","Y"," ","Y"," ","13","FAIL","--- FAIL: TestDockerAdapter_Stop_NotStarted (0.03s) --- FAIL: TestDockerAdapter_Stop_ContainerDoesNotExist (0.04s) panic: runtime error: invalid memory address or nil pointer dereference [recovered, r"
"memory","submodules/memory","Y"," ","Y"," ","14","PASS"," "
"messaging","submodules/messaging","Y"," ","Y"," ","13","PASS"," "
"middleware","submodules/middleware","Y"," ","Y"," ","24","PASS"," "
"models","submodules/models","Y"," ","Y"," ","2","PASS"," "
"normalize","submodules/normalize","Y"," ","Y"," ","1","PASS"," "
"observability","submodules/observability","Y"," ","Y"," ","19","PASS"," "
"optimization","submodules/optimization","Y"," ","Y"," ","11","PASS"," "
"ouroborous","submodules/ouroborous","Y"," ","Y"," ","4","PASS"," "
"panoptic","submodules/panoptic","Y"," ","Y"," ","65","PASS"," "
"pipeline_runtime","submodules/pipeline_runtime","Y"," ","Y"," ","1","PASS"," "
"planning","submodules/planning","Y"," ","Y"," ","10","PASS"," "
"plinius_common","submodules/plinius_common","Y"," ","Y"," ","11","PASS"," "
"plugins","submodules/plugins","Y"," ","Y"," ","15","PASS"," "
"rag","submodules/rag","Y"," ","Y"," ","12","PASS"," "
"rate_limiter","submodules/rate_limiter","Y"," ","Y"," ","18","PASS"," "
"recovery","submodules/recovery","Y"," ","Y"," ","11","PASS"," "
"red_team","submodules/red_team","Y"," ","Y"," ","1","PASS"," "
"security","submodules/security","Y"," ","Y"," ","37","PASS"," "
"self_improve","submodules/self_improve","Y"," ","Y"," ","10","PASS"," "
"skill_registry","submodules/skill_registry","Y"," ","Y"," ","17","PASS"," "
"storage","submodules/storage","Y"," ","Y"," ","32","PASS"," "
"streaming","submodules/streaming","Y"," ","Y"," ","24","PASS"," "
"tool_schema","submodules/tool_schema","Y"," ","Y"," ","4","PASS"," "
"toon","submodules/toon","Y"," ","Y"," ","1","PASS"," "
"vector_db","submodules/vector_db","Y"," ","Y"," ","13","PASS"," "
"veritas","submodules/veritas","Y"," ","Y"," ","4","PASS"," "
"vision_engine","submodules/vision_engine","Y"," ","Y"," ","24","PASS"," "
"watcher","submodules/watcher","Y"," ","Y"," ","11","PASS"," "
